SPort, DPort, SPkts, DPkts, SBytes, DBytes, Protocol, SYN, ACK, FIN, PSH, RST, URG, SYN+ACK, Duration, IsAlive, Service, UniqueDests, UniqueSrcs, UniqueDestSocks, UniqueSrcSocks,target
48286,443,48,0,8248,0,17,0,0,0,0,0,0,0,3.680834293,1,0,12,1,1,3,0
443,60672,4,0,5313,0,6,0,4,0,3,0,0,4,3.675988674,1,0,1,12,3,1,0
443,60658,3,0,5259,0,6,0,3,0,1,0,0,3,3.660024166,1,0,1,12,3,1,0
59338,53,2,0,148,0,17,0,0,0,0,0,0,0,2.556714058,1,0,12,1,1,12,0
53,59338,2,0,192,0,17,0,0,0,0,0,0,0,2.522797585,1,0,1,12,11,1,0
46180,443,24,0,9032,0,17,0,0,0,0,0,0,0,2.487020731,1,0,12,1,1,3,0
36158,443,9,0,1298,0,6,1,8,1,4,0,0,9,2.486749887,1,0,12,1,1,3,0
36162,443,7,0,1180,0,6,1,6,0,4,0,0,7,2.431073666,1,0,12,1,1,3,0
443,36158,9,0,4093,0,6,1,9,1,1,0,0,9,2.200570822,1,0,1,12,3,1,0
443,46180,95,0,118587,0,17,0,0,0,0,0,0,0,2.199270487,1,0,1,12,3,1,0
443,36162,6,0,999,0,6,1,6,0,1,0,0,6,2.198800802,1,0,1,12,3,1,0
56103,53,2,0,154,0,17,0,0,0,0,0,0,0,1.424240112,1,0,12,1,1,13,0
34413,53,2,0,146,0,17,0,0,0,0,0,0,0,1.375649452,1,0,12,1,1,14,0
53,34413,2,0,280,0,17,0,0,0,0,0,0,0,1.22876215,1,0,1,12,12,1,0
53,56103,1,0,93,0,17,0,0,0,0,0,0,0,1.22796011,1,0,1,12,13,1,0
37515,443,12,0,2394,0,17,0,0,0,0,0,0,0,1.19444561,1,0,13,1,1,1,0
59108,443,11,0,1313,0,6,1,10,0,6,0,0,11,1.193678379,1,0,13,1,1,2,0
45930,53,2,0,170,0,17,0,0,0,0,0,0,0,1.011223316,1,0,13,1,1,15,0
41936,53,2,0,150,0,17,0,0,0,0,0,0,0,1.010283947,1,0,13,1,1,16,0
51424,53,1,0,85,0,17,0,0,0,0,0,0,0,1.004147768,1,0,13,1,1,17,0
38848,53,2,0,146,0,17,0,0,0,0,0,0,0,1.002169847,1,0,13,1,1,18,0
443,40785,4,0,3524,0,17,0,0,0,0,0,0,0,0.986524343,1,0,1,12,2,1,0
443,37515,14,0,13637,0,17,0,0,0,0,0,0,0,0.917978048,1,0,1,13,1,1,0
443,59108,10,0,2875,0,6,0,10,0,4,0,0,10,0.837074757,1,0,1,13,2,1,0
40785,443,2,0,230,0,17,0,0,0,0,0,0,0,0.835346699,1,0,13,1,1,2,0
53,51424,1,0,142,0,17,0,0,0,0,0,0,0,0.825852871,1,0,1,13,14,1,0
45100,443,6,0,1906,0,17,0,0,0,0,0,0,0,0.824959278,1,0,14,1,1,1,0
35578,443,8,0,3707,0,17,0,0,0,0,0,0,0,0.824234486,1,0,15,1,1,1,0
39513,443,7,0,2270,0,17,0,0,0,0,0,0,0,0.823647976,1,0,16,1,1,1,0
43294,443,6,0,2240,0,17,0,0,0,0,0,0,0,0.823293447,1,0,16,1,1,2,0
48582,443,12,0,1450,0,6,1,11,0,4,0,0,12,0.812591553,1,0,16,1,1,3,0
48594,443,11,0,1396,0,6,1,10,0,4,0,0,11,0.812014341,1,0,16,1,1,4,0
53112,443,12,0,1450,0,6,1,11,0,4,0,0,12,0.811737776,1,0,16,1,1,2,0
443,35578,15,0,12170,0,17,0,0,0,0,0,0,0,0.790004015,1,0,1,14,1,1,0
